Model,ROC-AUC,PR-AUC,Precision,Recall,F1,Threshold
XGBoost,0.643898241894842,0.16188895506470016,0.17592592592592593,0.3230293663060278,0.22779291553133516,0.5738353729248047
Logistic Regression,0.6420512201697574,0.161628010666872,,,,
XGBoost,0.643898241894842,0.16188895506470016,,,,
