drug_class,exposure_definition,variable,smd_before,smd_after_ipw
beta_blocker,current_use,diabetes_status,0.5226,0.1658
beta_blocker,current_use,physically_active,0.4389,0.1505
beta_blocker,current_use,MCQ160B,0.567,0.0139
beta_blocker,current_use,MCQ160C,0.6409,0.0484
beta_blocker,current_use,BPQ020,1.3547,0.3997
beta_blocker,current_use,BPQ080,0.6468,0.2083
beta_blocker,current_use,drug_count,1.5295,0.3427
beta_blocker,current_use,drug_statin,0.9868,0.2273
beta_blocker,current_use,drug_ace_inhibitor,0.5727,0.2252
beta_blocker,current_use,drug_thiazide,0.4962,0.1945
beta_blocker,current_use,drug_ppi,0.4483,0.1671
beta_blocker,current_use,drug_ccb,0.5299,0.1744
beta_blocker,current_use,drug_metformin,0.3534,0.1435
beta_blocker,current_use,drug_arb,0.456,0.1522
beta_blocker,current_use,drug_ssri,0.225,0.1638
beta_blocker,current_use,drug_opioid,0.1946,0.2077
beta_blocker,current_use,drug_nsaid,0.1256,0.1223
beta_blocker,current_use,drug_antiepileptic,0.2507,0.1507
beta_blocker,current_use,drug_loop_diuretic,0.571,0.0163
beta_blocker,current_use,drug_alpha_blocker,0.2877,0.0708
beta_blocker,current_use,drug_gout_drug,0.3129,0.0594
beta_blocker,current_use,drug_benzodiazepine,0.2044,0.0853
beta_blocker,current_use,drug_sulfonylurea,0.3375,0.0832
beta_blocker,current_use,drug_thyroid,0.2563,0.1073
beta_blocker,current_use,drug_bisphosphonate,0.1137,0.0776
beta_blocker,current_use,drug_potassium_sparing,0.2843,0.0376
beta_blocker,current_use,drug_count_x_age,1.5525,0.2923
beta_blocker,current_use,drug_count_x_bmi,1.2269,0.3142
beta_blocker,current_use,drug_count_x_egfr,1.103,0.3978
beta_blocker,current_use,drug_count_x_bmi_missing,0.0681,0.0267
beta_blocker,current_use,drug_count_x_egfr_missing,0.0264,0.045
metformin,current_use,RIDAGEYR,0.8384,0.4678
metformin,current_use,sex_binary,0.0255,0.1543
metformin,current_use,RIDRETH1,0.0236,0.0261
metformin,current_use,BMXBMI,0.5011,0.3565
metformin,current_use,BMXWAIST,0.6583,0.3807
metformin,current_use,INDFMPIR,0.0769,0.0542
metformin,current_use,LBXSCA,0.2054,0.0704
metformin,current_use,LBXSUA,0.162,0.1753
metformin,current_use,LBXSPH,0.051,0.0504
metformin,current_use,LBXSC3SI,0.0112,0.0261
metformin,current_use,LBXSBU,0.2876,0.2513
metformin,current_use,LBXSCR,0.0184,0.1181
metformin,current_use,egfr,0.3754,0.3354
metformin,current_use,acr,0.0712,0.0535
metformin,current_use,systolic_bp,0.3675,0.2002
metformin,current_use,diastolic_bp,0.1193,0.0874
metformin,current_use,smoking_status,0.0132,0.0508
metformin,current_use,diabetes_status,2.4588,0.7578
metformin,current_use,physically_active,0.3893,0.2014
metformin,current_use,MCQ160B,0.1742,0.2467
metformin,current_use,MCQ160C,0.2033,0.1801
metformin,current_use,BPQ020,0.7758,0.4332
metformin,current_use,BPQ080,0.6835,0.3403
metformin,current_use,drug_count,1.3313,0.6597
metformin,current_use,drug_statin,0.9988,0.3497
metformin,current_use,drug_ace_inhibitor,0.8395,0.2628
metformin,current_use,drug_beta_blocker,0.435,0.3078
metformin,current_use,drug_thiazide,0.4196,0.2534
metformin,current_use,drug_ppi,0.2754,0.2304
metformin,current_use,drug_ccb,0.3799,0.2808
metformin,current_use,drug_arb,0.437,0.1683
metformin,current_use,drug_ssri,0.1272,0.1475
metformin,current_use,drug_opioid,0.1335,0.12
metformin,current_use,drug_nsaid,0.1626,0.1013
metformin,current_use,drug_antiepileptic,0.2464,0.1519
metformin,current_use,drug_loop_diuretic,0.2233,0.2506
metformin,current_use,drug_alpha_blocker,0.1955,0.1624
metformin,current_use,drug_gout_drug,0.1368,0.0723
metformin,current_use,drug_benzodiazepine,0.0423,0.1496
metformin,current_use,drug_sulfonylurea,0.9123,0.2159
metformin,current_use,drug_thyroid,0.1815,0.1867
metformin,current_use,drug_bisphosphonate,0.0589,0.0925
metformin,current_use,drug_potassium_sparing,0.0904,0.1469
metformin,current_use,drug_count_x_age,1.2443,0.6061
metformin,current_use,drug_count_x_bmi,1.1693,0.5706
metformin,current_use,drug_count_x_egfr,1.2678,0.5492
metformin,current_use,drug_count_x_bmi_missing,0.0152,0.0694
metformin,current_use,drug_count_x_egfr_missing,0.0557,0.0005
