drug_class,exposure_definition,variable,smd_before,smd_after_ipw
ppi,current_use,physically_active,0.382,0.076
ppi,current_use,MCQ160B,0.296,0.0685
ppi,current_use,MCQ160C,0.2902,0.0691
ppi,current_use,BPQ020,0.6564,0.1331
ppi,current_use,BPQ080,0.5357,0.117
ppi,current_use,drug_count,1.4012,0.2905
ppi,current_use,drug_statin,0.6414,0.1313
ppi,current_use,drug_ace_inhibitor,0.3554,0.1089
ppi,current_use,drug_beta_blocker,0.521,0.1185
ppi,current_use,drug_thiazide,0.3164,0.1003
ppi,current_use,drug_ccb,0.393,0.0824
ppi,current_use,drug_metformin,0.2593,0.0612
ppi,current_use,drug_arb,0.3576,0.0732
ppi,current_use,drug_ssri,0.3584,0.0813
ppi,current_use,drug_opioid,0.3575,0.0467
ppi,current_use,drug_nsaid,0.3455,0.0414
ppi,current_use,drug_antiepileptic,0.358,0.0675
ppi,current_use,drug_loop_diuretic,0.3478,0.077
ppi,current_use,drug_alpha_blocker,0.236,0.0636
ppi,current_use,drug_gout_drug,0.1831,0.0488
ppi,current_use,drug_benzodiazepine,0.2833,0.0489
ppi,current_use,drug_sulfonylurea,0.2004,0.0742
ppi,current_use,drug_thyroid,0.3094,0.0529
ppi,current_use,drug_bisphosphonate,0.1616,0.0072
ppi,current_use,drug_potassium_sparing,0.1615,0.042
ppi,current_use,drug_count_x_age,1.3405,0.2446
ppi,current_use,drug_count_x_bmi,1.1392,0.2631
ppi,current_use,drug_count_x_egfr,1.1482,0.2486
ppi,current_use,drug_count_x_bmi_missing,0.0245,0.0513
ppi,current_use,drug_count_x_egfr_missing,0.0301,0.0186
antiepileptic,current_use,RIDAGEYR,0.5206,0.2454
antiepileptic,current_use,sex_binary,0.1291,0.0363
antiepileptic,current_use,RIDRETH1,0.0336,0.028
antiepileptic,current_use,BMXBMI,0.3189,0.0049
antiepileptic,current_use,BMXWAIST,0.4108,0.0446
antiepileptic,current_use,INDFMPIR,0.2427,0.0093
antiepileptic,current_use,LBXSCA,0.0545,0.0194
antiepileptic,current_use,LBXSUA,0.0539,0.0023
antiepileptic,current_use,LBXSPH,0.0798,0.0588
antiepileptic,current_use,LBXSC3SI,0.0592,0.0219
antiepileptic,current_use,LBXSBU,0.2691,0.0917
antiepileptic,current_use,LBXSCR,0.1589,0.0434
antiepileptic,current_use,egfr,0.4543,0.1694
antiepileptic,current_use,acr,0.0619,0.0087
antiepileptic,current_use,systolic_bp,0.0802,0.0659
antiepileptic,current_use,diastolic_bp,0.0731,0.0341
antiepileptic,current_use,smoking_status,0.2489,0.0613
antiepileptic,current_use,diabetes_status,0.4536,0.1373
antiepileptic,current_use,physically_active,0.3799,0.1361
antiepileptic,current_use,MCQ160B,0.2805,0.097
antiepileptic,current_use,MCQ160C,0.2209,0.168
antiepileptic,current_use,BPQ020,0.5147,0.2006
antiepileptic,current_use,BPQ080,0.3821,0.1694
antiepileptic,current_use,drug_count,1.504,0.4778
antiepileptic,current_use,drug_statin,0.4933,0.2271
antiepileptic,current_use,drug_ace_inhibitor,0.2747,0.159
antiepileptic,current_use,drug_beta_blocker,0.4043,0.2073
antiepileptic,current_use,drug_thiazide,0.1877,0.1081
antiepileptic,current_use,drug_ppi,0.5075,0.1736
antiepileptic,current_use,drug_ccb,0.2661,0.1273
antiepileptic,current_use,drug_metformin,0.3233,0.1174
antiepileptic,current_use,drug_arb,0.2269,0.1007
antiepileptic,current_use,drug_ssri,0.5075,0.1373
antiepileptic,current_use,drug_opioid,0.6114,0.1103
antiepileptic,current_use,drug_nsaid,0.3451,0.1033
antiepileptic,current_use,drug_loop_diuretic,0.3603,0.1465
antiepileptic,current_use,drug_alpha_blocker,0.2003,0.0874
antiepileptic,current_use,drug_gout_drug,0.1246,0.0561
antiepileptic,current_use,drug_benzodiazepine,0.4339,0.1189
antiepileptic,current_use,drug_sulfonylurea,0.2582,0.1003
antiepileptic,current_use,drug_thyroid,0.2415,0.0696
antiepileptic,current_use,drug_bisphosphonate,0.1062,0.094
antiepileptic,current_use,drug_potassium_sparing,0.1329,0.0684
antiepileptic,current_use,drug_count_x_age,1.299,0.4433
antiepileptic,current_use,drug_count_x_bmi,1.1883,0.3965
antiepileptic,current_use,drug_count_x_egfr,1.2636,0.449
antiepileptic,current_use,drug_count_x_bmi_missing,0.1212,0.0048
antiepileptic,current_use,drug_count_x_egfr_missing,0.0413,0.0086
gout_drug,current_use,RIDAGEYR,1.2048,0.7414
gout_drug,current_use,sex_binary,0.5413,0.3631
gout_drug,current_use,RIDRETH1,0.2697,0.1193
gout_drug,current_use,BMXBMI,0.4964,0.2747
gout_drug,current_use,BMXWAIST,0.7057,0.4536
gout_drug,current_use,INDFMPIR,0.1328,0.1245
gout_drug,current_use,LBXSCA,0.0763,0.0645
gout_drug,current_use,LBXSUA,0.3161,0.6527
gout_drug,current_use,LBXSPH,0.0671,0.052
gout_drug,current_use,LBXSC3SI,0.0111,0.0114
gout_drug,current_use,LBXSBU,0.8091,0.4194
gout_drug,current_use,LBXSCR,0.6073,0.3172
gout_drug,current_use,egfr,1.1385,0.6037
gout_drug,current_use,acr,0.1782,0.0887
gout_drug,current_use,systolic_bp,0.3948,0.2274
gout_drug,current_use,diastolic_bp,0.1366,0.0369
gout_drug,current_use,smoking_status,0.0023,0.0023
gout_drug,current_use,diabetes_status,0.5699,0.3739
gout_drug,current_use,physically_active,0.3769,0.1602
gout_drug,current_use,MCQ160B,0.4775,0.1921
gout_drug,current_use,MCQ160C,0.4739,0.2421
gout_drug,current_use,BPQ020,1.0774,0.5883
gout_drug,current_use,BPQ080,0.6015,0.4793
gout_drug,current_use,drug_count,1.5521,0.9282
gout_drug,current_use,drug_statin,0.8792,0.5361
gout_drug,current_use,drug_ace_inhibitor,0.5218,0.3899
gout_drug,current_use,drug_beta_blocker,0.9821,0.3756
gout_drug,current_use,drug_thiazide,0.4011,0.2402
gout_drug,current_use,drug_ppi,0.4388,0.2136
gout_drug,current_use,drug_ccb,0.5945,0.3908
gout_drug,current_use,drug_metformin,0.3033,0.2931
gout_drug,current_use,drug_arb,0.5022,0.2871
gout_drug,current_use,drug_ssri,0.1777,0.1547
gout_drug,current_use,drug_opioid,0.2088,0.2305
gout_drug,current_use,drug_nsaid,0.2944,0.2434
gout_drug,current_use,drug_antiepileptic,0.2105,0.1015
gout_drug,current_use,drug_loop_diuretic,0.7448,0.2862
gout_drug,current_use,drug_alpha_blocker,0.4794,0.2406
gout_drug,current_use,drug_benzodiazepine,0.0533,0.0991
gout_drug,current_use,drug_sulfonylurea,0.3994,0.2322
gout_drug,current_use,drug_thyroid,0.2358,0.1632
gout_drug,current_use,drug_bisphosphonate,0.0073,0.0414
gout_drug,current_use,drug_potassium_sparing,0.3256,0.1397
gout_drug,current_use,drug_count_x_age,1.5735,0.8752
gout_drug,current_use,drug_count_x_bmi,1.2777,0.7783
gout_drug,current_use,drug_count_x_egfr,0.9824,0.7225
gout_drug,current_use,drug_count_x_bmi_missing,0.0341,0.0789
gout_drug,current_use,drug_count_x_egfr_missing,0.0321,0.0543
potassium_sparing,current_use,RIDAGEYR,0.954,0.5405
potassium_sparing,current_use,sex_binary,0.3091,0.1486
potassium_sparing,current_use,RIDRETH1,0.1718,0.0813
potassium_sparing,current_use,BMXBMI,0.4048,0.2655
potassium_sparing,current_use,BMXWAIST,0.4483,0.3069
potassium_sparing,current_use,INDFMPIR,0.1228,0.0774
potassium_sparing,current_use,LBXSCA,0.2776,0.0409
potassium_sparing,current_use,LBXSUA,0.5629,0.2878
potassium_sparing,current_use,LBXSPH,0.0182,0.0257
potassium_sparing,current_use,LBXSC3SI,0.1292,0.1039
potassium_sparing,current_use,LBXSBU,0.5719,0.3026
potassium_sparing,current_use,LBXSCR,0.3686,0.1592
potassium_sparing,current_use,egfr,0.9452,0.4857
potassium_sparing,current_use,acr,0.0054,0.0508
potassium_sparing,current_use,systolic_bp,0.1807,0.1478
potassium_sparing,current_use,diastolic_bp,0.0966,0.002
potassium_sparing,current_use,smoking_status,0.0724,0.0026
potassium_sparing,current_use,diabetes_status,0.305,0.2681
potassium_sparing,current_use,physically_active,0.3871,0.2394
potassium_sparing,current_use,MCQ160B,0.5167,0.2435
potassium_sparing,current_use,MCQ160C,0.3347,0.1933
potassium_sparing,current_use,BPQ020,1.1823,0.6189
potassium_sparing,current_use,BPQ080,0.4009,0.3871
potassium_sparing,current_use,drug_count,1.196,0.9629
potassium_sparing,current_use,drug_statin,0.5927,0.4134
potassium_sparing,current_use,drug_ace_inhibitor,0.2842,0.3471
